model,true_label,predicted_label,count
LogisticRegression,critical,critical,10
LogisticRegression,critical,editorial,0
LogisticRegression,critical,important,0
LogisticRegression,critical,informational,0
LogisticRegression,editorial,critical,0
LogisticRegression,editorial,editorial,5
LogisticRegression,editorial,important,0
LogisticRegression,editorial,informational,0
LogisticRegression,important,critical,0
LogisticRegression,important,editorial,1
LogisticRegression,important,important,3
LogisticRegression,important,informational,4
LogisticRegression,informational,critical,2
LogisticRegression,informational,editorial,0
LogisticRegression,informational,important,0
LogisticRegression,informational,informational,7
LinearSVC,critical,critical,10
LinearSVC,critical,editorial,0
LinearSVC,critical,important,0
LinearSVC,critical,informational,0
LinearSVC,editorial,critical,0
LinearSVC,editorial,editorial,4
LinearSVC,editorial,important,1
LinearSVC,editorial,informational,0
LinearSVC,important,critical,0
LinearSVC,important,editorial,1
LinearSVC,important,important,4
LinearSVC,important,informational,3
LinearSVC,informational,critical,1
LinearSVC,informational,editorial,0
LinearSVC,informational,important,0
LinearSVC,informational,informational,8
ComplementNB,critical,critical,8
ComplementNB,critical,editorial,2
ComplementNB,critical,important,0
ComplementNB,critical,informational,0
ComplementNB,editorial,critical,0
ComplementNB,editorial,editorial,4
ComplementNB,editorial,important,1
ComplementNB,editorial,informational,0
ComplementNB,important,critical,2
ComplementNB,important,editorial,4
ComplementNB,important,important,2
ComplementNB,important,informational,0
ComplementNB,informational,critical,4
ComplementNB,informational,editorial,1
ComplementNB,informational,important,4
ComplementNB,informational,informational,0
RandomForestClassifier,critical,critical,10
RandomForestClassifier,critical,editorial,0
RandomForestClassifier,critical,important,0
RandomForestClassifier,critical,informational,0
RandomForestClassifier,editorial,critical,0
RandomForestClassifier,editorial,editorial,4
RandomForestClassifier,editorial,important,0
RandomForestClassifier,editorial,informational,1
RandomForestClassifier,important,critical,1
RandomForestClassifier,important,editorial,2
RandomForestClassifier,important,important,2
RandomForestClassifier,important,informational,3
RandomForestClassifier,informational,critical,0
RandomForestClassifier,informational,editorial,0
RandomForestClassifier,informational,important,0
RandomForestClassifier,informational,informational,9
